"alminium",,,
"時間","試験力","ストローク","変位計1"
"sec","N","mm","mm"
"4.32","1104.546","0.2143437","0.09486008"
"4.33","1107.518","0.2148333","0.09486008"
"4.34","1110.609","0.2153333","0.09512329"
"4.35","1113.772","0.2158333","0.09529877"
"4.36","1117.007","0.2163333","0.09529877"
"4.37","1119.789","0.2168333","0.09539032"
"4.38","1123.031","0.2173333","0.09545898"
"4.39","1126.051","0.2178437","0.09545898"
"4.4","1129.206","0.2183437","0.09558105"
"4.41","1132.25","0.2188437","0.09558105"
"4.42","1134.817","0.2193542","0.09579849"
"4.43","1138.004","0.2198542","0.09608459"
"4.44","1141.397","0.2203542","0.09608459"
"4.45","1144.576","0.2208437","0.09632874"
"4.46","1147.882","0.2213437","0.09638977"
"4.47","1150.624","0.2218333","0.09638977"
"4.48","1153.572","0.2223333","0.09630585"
"4.49","1156.568","0.2228229","0.09630585"
"4.5","1159.525","0.2233125","0.0962677"
"4.51","1162.553","0.2238125","0.09643555"
"4.52","1165.779","0.2243125","0.09643555"
"4.53","1169.109","0.2248125","0.09673691"
"4.54","1172.407","0.2253125","0.09702301"
"4.55","1175.555","0.2258229","0.09702301"
"4.56","1178.622","0.2263229","0.09724045"
"4.57","1181.825","0.2268229","0.09724045"
"4.58","1185.274","0.2273229","0.09740829"
"4.59","1188.246","0.2278333","0.09754181"
"4.6","1191.298","0.2283333","0.09754181"
"4.61","1194.453","0.2288437","0.09757996"
"4.62","1197.41","0.2293437","0.09750366"
"4.63","1200.906","0.2298542","0.09750366"
"4.64","1204.292","0.2303542","0.09744263"
"4.65","1207.32","0.2308542","0.09744263"
"4.66","1211.222","0.2313542","0.0975914"
"4.67","1214.472","0.2318542","0.09807205"
"4.68","1217.159","0.2323542","0.09807205"
"4.69","1220.21","0.2328437","0.09878159"
"4.7","1223.079","0.2333438","0.09950256"
"4.71","1226.687","0.2338437","0.09950256"
"4.72","1229.612","0.2343438","0.1000977"
"4.73","1233.077","0.2348437","0.1000977"
"4.74","1236.296","0.2353542","0.1005898"
"4.75","1239.546","0.2358542","0.1011124"
"4.76","1243.067","0.2363542","0.1011124"
"4.77","1246.405","0.2368542","0.101738"
"4.78","1249.719","0.2373542","0.101738"
"4.79","1252.826","0.2378438","0.1024055"
"4.8","1255.687","0.2383437","0.1030083"
"4.81","1258.985","0.2388542","0.1030083"
"4.82","1262.116","0.2393542","0.1035347"
"4.83","1264.993","0.2398542","0.1040688"
"4.84","1268.57","0.2403542","0.1040688"
"4.85","1271.772","0.2408542","0.1047211"
"4.86","1275.015","0.2413542","0.1047211"
"4.87","1278.424","0.2418542","0.1055222"
"4.88","1281.786","0.2423438","0.1064758"
"4.89","1284.981","0.2428437","0.1064758"
"4.9","1287.953","0.2433333","0.1075554"
"4.91","1290.973","0.2438229","0.1086159"
"4.92","1294.486","0.2443229","0.1086159"
"4.93","1297.466","0.2448229","0.1094475"
"4.94","1300.534","0.2453229","0.1094475"
"4.95","1303.808","0.2458229","0.1099396"
"4.96","1307.162","0.2463229","0.1101952"
"4.97","1309.999","0.2468229","0.1101952"
"4.98","1313.202","0.2473125","0.1104317"
"4.99","1316.396","0.2478125","0.1107903"
"5","1319.345","0.2483229","0.1107903"
"5.01","1322.858","0.2488229","0.1112709"
"5.02","1326.315","0.2493229","0.1112709"
"5.03","1329.446","0.2498333","0.1118698"
"5.04","1332.49","0.2503437","0.1125908"
"5.05","1335.637","0.2508437","0.1125908"
"5.06","1338.649","0.2513542","0.1134186"
"5.07","1342.034","0.2518542","0.1134186"
"5.08","1344.88","0.2523542","0.1142883"
"5.09","1348.297","0.2528542","0.1151276"
"5.1","1352.104","0.2533438","0.1151276"
"5.11","1355.139","0.2538438","0.1159096"
"5.12","1358.088","0.2543437","0.1166"
"5.13","1361.036","0.2548333","0.1166"
"5.14","1364.43","0.2553437","0.1171112"
"5.15","1367.299","0.2558438","0.1171112"
"5.16","1370.176","0.2563438","0.1174088"
"5.17","1373.418","0.2568437","0.1175728"
"5.18","1376.526","0.2573437","0.1175728"
"5.19","1379.712","0.2578437","0.1177139"
"5.2","1383.114","0.2583438","0.1179199"
"5.21","1386.229","0.2588437","0.1179199"
"5.22","1389.416","0.2593542","0.1182175"
"5.23","1392.571","0.2598542","0.1182175"
"5.24","1395.734","0.2603542","0.1185989"
"5.25","1398.738","0.2608542","0.1190453"
"5.26","1402.132","0.2613646","0.1190453"
"5.27","1405.533","0.2618646","0.1194839"
"5.28","1408.505","0.2623542","0.1198463"
"5.29","1411.875","0.2628542","0.1198463"
"5.3","1415.237","0.2633438","0.1198463"
"5.31","1417.502","0.2638437","0.1201057"
"5.32","1420.855","0.2643333","0.1203117"
"5.33","1423.987","0.2648229","0.120594"
"5.34","1427.015","0.2653229","0.120594"
"5.35","1430.051","0.2658229","0.1210556"
"5.36","1433.063","0.2663229","0.1217041"
"5.37","1435.971","0.2668229","0.1217041"
"5.38","1438.864","0.2673229","0.1224251"
"5.39","1442.313","0.2678229","0.1224251"
"5.4","1445.365","0.2683229","0.123024"
"5.41","1448.655","0.2688229","0.123394"
"5.42","1451.453","0.2693229","0.123394"
"5.43","1454.735","0.2698333","0.123642"
"5.44","1457.93","0.2703333","0.123642"
"5.45","1461.029","0.2708437","0.12397"
"5.46","1464.224","0.2713542","0.12397"
"5.47","1467.148","0.2718542","0.124424"
"5.48","1470.057","0.2723542","0.1248589"
"5.49","1473.006","0.2728541","0.1251297"
"5.5","1476.479","0.2733542","0.1251297"
"5.51","1479.689","0.2738542","0.1252708"
"5.52","1482.725","0.2743438","0.1252708"
"5.53","1485.395","0.2748438","0.1254082"
"5.54","1488.86","0.2753437","0.1254082"
"5.55","1491.888","0.2758437","0.1255646"
"5.56","1494.853","0.2763437","0.1256676"
"5.57","1497.904","0.2768438","0.1256523"
"5.58","1500.734","0.2773438","0.1256523"
"5.59","1503.936","0.2778437","0.1255112"
