"SS400_3",,,
"時間","試験力","ストローク","変位計1"
"sec","N","mm","mm"
"3.28","985.8767","0.1623438","0.09738159"
"3.29","989.6676","0.1628437","0.09738159"
"3.3","993.077","0.1633437","0.09776306"
"3.31","996.5022","0.1638438","0.09821701"
"3.32","1000.317","0.1643542","0.09821701"
"3.33","1004.807","0.1648542","0.09870529"
"3.34","1008.431","0.1653542","0.09922791"
"3.35","1011.912","0.1658542","0.09922791"
"3.36","1015.48","0.1663542","0.0997963"
"3.37","1019.216","0.1668437","0.0997963"
"3.38","1023.34","0.1673438","0.1004181"
"3.39","1027.036","0.1678333","0.1010857"
"3.4","1030.811","0.1683229","0.1010857"
"3.41","1034.554","0.1688229","0.1017723"
"3.42","1037.971","0.1693229","0.1024704"
"3.43","1041.007","0.1698125","0.1024704"
"3.44","1044.48","0.1703125","0.1031647"
"3.45","1048.478","0.1708125","0.1031647"
"3.46","1052.443","0.1713125","0.1038475"
"3.47","1056.147","0.1718125","0.1044846"
"3.48","1059.747","0.1723125","0.1044846"
"3.49","1063.681","0.1728125","0.1050606"
"3.5","1067.336","0.1733125","0.1050606"
"3.51","1071.016","0.1738229","0.1055908"
"3.52","1074.64","0.1743229","0.1061058"
"3.53","1078.28","0.1748333","0.1061058"
"3.54","1082.063","0.1753333","0.1066093"
"3.55","1085.941","0.1758437","0.1070404"
"3.56","1089.493","0.1763438","0.1070404"
"3.57","1093.324","0.1768437","0.1070404"
"3.58","1097.313","0.1773437","0.1073532"
"3.59","1101.367","0.1778437","0.107563"
"3.6","1105.205","0.1783437","0.1077385"
"3.61","1108.885","0.1788333","0.1077385"
"3.62","1112.644","0.1793333","0.1079483"
"3.63","1116.3","0.1798333","0.1081734"
"3.64","1120.154","0.1803333","0.1081734"
"3.65","1124","0.1808333","0.1083603"
"3.66","1127.887","0.1813437","0.1083603"
"3.67","1132.051","0.1818437","0.1084595"
"3.68","1135.898","0.1823438","0.1085396"
"3.69","1139.697","0.1828437","0.1085396"
"3.7","1142.828","0.1833438","0.1086884"
"3.71","1146.507","0.1838437","0.1089058"
"3.72","1150.258","0.1843542","0.1089058"
"3.73","1154.264","0.1848542","0.1089058"
"3.74","1158.396","0.1853542","0.1091042"
"3.75","1161.893","0.1858646","0.1092339"
"3.76","1165.851","0.1863646","0.1093369"
"3.77","1169.507","0.1868646","0.1093369"
"3.78","1173.369","0.1873542","0.1094475"
"3.79","1177.279","0.1878438","0.1095695"
"3.8","1181.459","0.1883333","0.1095695"
"3.81","1184.591","0.1888333","0.1095695"
"3.82","1187.793","0.1893229","0.1096954"
"3.83","1191.958","0.1898229","0.1098328"
"3.84","1195.884","0.1903229","0.1099358"
"3.85","1199.786","0.1908229","0.1099358"
"3.86","1203.299","0.1913229","0.1099358"
"3.87","1207.248","0.1918229","0.1099358"
"3.88","1211.19","0.1923229","0.1098061"
"3.89","1215.021","0.1928229","0.1096344"
"3.9","1219.122","0.1933229","0.1096344"
"3.91","1222.817","0.1938229","0.1095009"
"3.92","1226.918","0.1943333","0.109436"
"3.93","1230.685","0.1948333","0.109436"
"3.94","1234.07","0.1953437","0.1094246"
"3.95","1238.314","0.1958437","0.1094246"
"3.96","1242.32","0.1963542","0.109417"
"3.97","1246.19","0.1968542","0.109417"
"3.98","1249.703","0.1973542","0.1093788"
"3.99","1253.867","0.1978542","0.1093292"
"4","1258.039","0.1983542","0.1093102"
"4.01","1261.751","0.1988437","0.1093102"
"4.02","1265.534","0.1993437","0.1093636"
"4.03","1269.134","0.1998437","0.1093636"
"4.04","1272.543","0.2003437","0.1094627"
"4.05","1276.318","0.2008438","0.1094627"
"4.06","1280.65","0.2013437","0.1095123"
"4.07","1284.48","0.2018438","0.109436"
"4.08","1288.494","0.2023437","0.1092491"
"4.09","1292.634","0.2028437","0.1092491"
"4.1","1296.012","0.2033437","0.1090164"
"4.11","1299.548","0.2038437","0.1090164"
"4.12","1303.323","0.2043438","0.1087799"
"4.13","1307.114","0.2048437","0.1087799"
"4.14","1310.841","0.2053438","0.1085739"
"4.15","1314.87","0.2058437","0.108429"
"4.16","1319.099","0.2063438","0.1083603"
"4.17","1322.365","0.2068542","0.1083603"
"4.18","1326.156","0.2073542","0.1083107"
"4.19","1330.32","0.2078438","0.1083107"
"4.2","1334.365","0.2083437","0.1082497"
"4.21","1338.18","0.2088333","0.1082497"
"4.22","1341.724","0.2093333","0.1082001"
"4.23","1345.587","0.2098229","0.1081963"
"4.24","1349.036","0.2103229","0.1081963"
"4.25","1352.533","0.2108125","0.1081963"
"4.26","1356.371","0.2113125","0.1081161"
"4.27","1360.186","0.2118125","0.1081161"
"4.28","1363.54","0.2123125","0.1079254"
"4.29","1367.299","0.2128125","0.1079254"
"4.3","1371.416","0.2133125","0.1076813"
"4.31","1375.413","0.2138125","0.1074944"
"4.32","1379.697","0.2143229","0.1074944"
"4.33","1383.257","0.2148229","0.1074219"
"4.34","1386.833","0.2153229","0.107399"
"4.35","1390.568","0.2158333","0.107399"
"4.36","1394.2","0.2163437","0.1073685"
"4.37","1398.412","0.2168438","0.1073685"
"4.38","1402.148","0.2173542","0.1072617"
"4.39","1405.907","0.2178542","0.1070709"
"4.4","1409.984","0.2183542","0.1070709"
"4.41","1413.91","0.2188542","0.1068611"
"4.42","1417.78","0.2193542","0.10672"
"4.43","1421.388","0.2198437","0.10672"
"4.44","1425.012","0.2203438","0.10672"
"4.45","1428.779","0.2208437","0.10672"
"4.46","1432.602","0.2213437","0.1068344"
"4.47","1436.52","0.2218437","0.106987"
"4.48","1440.287","0.2223437","0.106987"
"4.49","1443.911","0.2228438","0.107151"
"4.5","1447.948","0.2233437","0.107338"
"4.51","1451.612","0.2238438","0.107338"
"4.52","1455.124","0.2243437","0.1075821"
"4.53","1458.963","0.2248437","0.1075821"
"4.54","1462.73","0.2253437","0.1078873"
"4.55","1466.775","0.2258437","0.1082344"
"4.56","1470.184","0.2263542","0.1082344"
"4.57","1473.951","0.2268542","0.1085663"
"4.58","1477.694","0.2273542","0.1088486"
"4.59","1481.573","0.2278542","0.1088486"
"4.6","1485.356","0.2283542","0.1090431"
"4.61","1488.996","0.2288542","0.1090431"
"4.62","1492.476","0.2293542","0.1091309"
"4.63","1496.601","0.2298438","0.1090851"
"4.64","1500.503","0.2303333","0.1090851"
"4.65","1504.032","0.2308229","0.1089592"
"4.66","1507.441","0.2313229","0.1088486"
"4.67","1511.415","0.2318125","0.1088486"
"4.68","1515.134","0.2323125","0.1088753"
"4.69","1518.774","0.2328125","0.1088753"
"4.7","1522.533","0.2333125","0.1090546"
